city,avg_weeks_to_peak,peak_streams,peak_listeners,songs_analyzed,songs_peaked_first_week,pct_peaked_first_week,songs_missing_release_date,songs_still_growing
Portland,17.4,30,19,5,1,20.0,0,0
Denver,33.8,29,38,12,3,25.0,0,0
Chicago,6.2,22,24,12,1,8.3,0,1
Seattle,22.3,20,25,7,2,28.6,0,0
Nashville,0.8,19,13,9,2,22.2,0,1
Salt Lake City,36.9,18,16,8,2,25.0,0,1
Los Angeles,14.5,18,15,10,1,10.0,0,0
Atlanta,35.8,18,25,8,1,12.5,0,0
New York City,21.8,18,16,12,2,16.7,0,0
Minneapolis,7.5,18,12,2,1,50.0,0,0
San Jose,3.7,17,14,6,1,16.7,0,0
Toronto,0.8,17,21,12,2,16.7,0,0
Vancouver,5.7,15,13,4,2,50.0,0,1
St. Louis,1.0,15,10,11,2,18.2,0,0
Jacksonville,0.7,14,5,3,1,33.3,0,0
Dallas,14.8,14,14,9,3,33.3,0,0
Beijing,3.0,12,11,1,0,0.0,0,0
Charlotte,25.0,12,15,6,1,16.7,0,0
London,9.7,11,11,11,6,54.5,0,0
Kansas City,5.6,9,10,5,1,20.0,0,0
Tokyo,5.4,9,7,11,1,9.1,0,0
Houston,0.8,9,8,10,7,70.0,0,1
Detroit,2.7,8,24,3,1,33.3,0,0
Syracuse,7.2,8,7,4,1,25.0,0,0
Birmingham,0.0,8,9,1,1,100.0,0,0
Phoenix,42.4,8,7,8,2,25.0,0,0
Tampa,1.5,8,5,2,1,50.0,0,0
Cape Coral,10.0,7,2,4,0,0.0,0,0
Omaha,20.7,7,5,3,1,33.3,0,0
Frankfurt Am Main,11.0,7,6,3,1,33.3,0,0
Shanghai,3.0,7,5,1,0,0.0,0,0
Paris,6.1,7,7,11,1,9.1,0,0
New Orleans,17.3,6,10,8,2,25.0,0,1
Orlando,7.2,6,8,10,1,10.0,0,0
Rochester,0.6,6,7,6,2,33.3,0,1
Boston,18.4,6,12,8,2,25.0,0,0
Miami,0.5,6,5,3,1,33.3,0,1
Albuquerque,0.4,6,4,10,9,90.0,0,0
San Francisco,1.5,6,4,2,1,50.0,0,0
Sacramento,8.7,6,11,10,1,10.0,0,0
Cincinnati,0.5,5,8,3,1,33.3,0,1
Pittsburgh,3.0,5,5,2,1,50.0,0,0
Worcester,4.9,5,6,11,2,18.2,0,0
Edmonton,1.5,5,5,2,1,50.0,0,0
Hartford,14.2,5,7,11,1,9.1,0,0
Montréal,41.0,5,5,11,1,9.1,0,0
"Washington, D.C.",29.3,5,12,10,2,20.0,0,1
Johannesburg,0.5,5,3,2,1,50.0,0,0
Baltimore,6.4,5,9,6,3,50.0,0,1
Columbus,0.0,5,5,2,2,100.0,0,0
Benoni,4.0,5,1,1,0,0.0,0,0
Oklahoma City,0.5,5,3,2,1,50.0,0,0
Osaka,11.4,5,5,5,1,20.0,0,0
Tacoma,1.0,5,3,2,1,50.0,0,0
Roanoke,0.5,4,5,2,1,50.0,0,0
Lisbon,60.6,4,2,11,1,9.1,0,0
Milwaukee,20.2,4,8,5,1,20.0,0,0
Philadelphia,45.5,4,12,11,1,9.1,0,0
West Chester,3.0,4,1,1,0,0.0,0,0
Austin,11.8,4,7,11,1,9.1,0,0
Berlin,4.8,4,1,9,1,11.1,0,0
Boulder,1.0,4,4,2,0,0.0,0,1
Boise,0.0,4,5,2,2,100.0,0,0
Sarasota,0.0,4,2,1,1,100.0,0,0
Las Vegas,3.0,4,5,9,6,66.7,0,0
Tulsa,17.3,4,7,3,2,66.7,0,0
Warsaw,3.0,4,2,2,0,0.0,0,1
Calgary,7.7,4,8,3,1,33.3,0,0
Sydney,0.5,3,4,2,1,50.0,0,0
Madrid,53.7,3,3,6,1,16.7,0,0
San Diego,4.5,3,5,3,1,33.3,0,1
Gunnison,16.0,3,2,9,5,55.6,0,0
Victoria,0.0,3,3,1,1,100.0,0,0
Québec,1.0,3,1,1,0,0.0,0,0
Fort Collins,0.0,3,3,2,2,100.0,0,0
Lausanne,4.0,3,2,2,1,50.0,0,0
Honolulu,0.0,3,3,1,1,100.0,0,0
Manchester,3.0,3,1,2,0,0.0,0,0
Billings,13.2,3,1,4,0,0.0,0,0
Melbourne,3.0,3,4,2,0,0.0,0,0
Budapest,0.0,3,3,1,1,100.0,0,0
Fort Worth,21.3,3,5,6,1,16.7,0,0
Kingston Upon Hull,0.0,3,1,9,9,100.0,0,0
Indianapolis,9.8,3,7,5,3,60.0,0,0
San Antonio,5.7,3,5,4,1,25.0,0,1
Lima,5.0,3,1,1,0,0.0,0,0
Taipei,9.7,3,3,3,2,66.7,0,0
Wilmington,3.0,3,6,2,0,0.0,0,0
Barnstable,2.0,3,2,2,0,0.0,0,0
Wichita,0.5,3,3,2,1,50.0,0,0
Mesa,0.5,3,2,2,1,50.0,0,0
Cleveland,0.5,3,2,2,1,50.0,0,0
Riverside,25.7,3,3,3,1,33.3,0,0
Asheville,1.0,3,2,1,0,0.0,0,0
Charleston,39.2,3,1,5,0,0.0,0,1
Guangzhou,3.0,3,3,1,0,0.0,0,0
Hamburg,9.0,3,3,2,1,50.0,0,0
Raleigh,0.1,3,3,10,9,90.0,0,0
Helsinki,0.5,3,3,2,1,50.0,0,0
Port Clinton,19.0,2,1,1,0,0.0,0,0
Matane,19.0,2,1,1,0,0.0,0,0
Adelaide,4.0,2,2,2,0,0.0,0,0
Yaroslavl,19.0,2,1,1,0,0.0,0,0
Waxahachie,,2,1,1,0,0.0,0,1
Samsun,,2,1,1,0,0.0,0,1
Oxnard,,2,2,1,0,0.0,0,1
Grand Forks,,2,1,1,0,0.0,0,1
Dortmund,,2,1,1,0,0.0,0,1
Fayetteville,,2,1,1,0,0.0,0,1
Spokane,1.5,2,2,3,1,33.3,0,1
North Myrtle Beach,48.5,2,1,2,0,0.0,0,0
Burlington,5.3,2,3,7,4,57.1,0,0
São Paulo,48.6,2,2,9,0,0.0,0,0
Mililani Town,0.0,2,2,1,1,100.0,0,0
Kelowna,2.0,2,2,2,0,0.0,0,0
Lansing,2.0,2,2,2,0,0.0,0,0
Fresno,14.0,2,2,2,1,50.0,0,0
Brisbane,0.5,2,3,2,1,50.0,0,0
Bridgeport,31.2,2,3,5,0,0.0,0,0
Glasgow,13.5,2,2,2,0,0.0,0,0
Amsterdam,7.0,2,3,2,0,0.0,0,0
Santa Rosa,5.5,2,2,2,1,50.0,0,0
Anaheim,11.3,2,2,3,0,0.0,0,0
Daytona Beach,22.9,2,1,11,7,63.6,0,0
Missoula,3.0,2,2,2,0,0.0,0,1
Louisville,36.5,2,3,4,1,25.0,0,0
Des Moines,13.7,2,2,3,0,0.0,0,0
The Villages,4.0,2,0,1,0,0.0,0,0
Madison,0.0,2,2,2,2,100.0,0,0
Topeka,4.1,2,1,10,0,0.0,0,0
Concord,0.0,2,2,1,1,100.0,0,0
Jackson,1.5,2,1,2,1,50.0,0,0
Christchurch,1.0,2,2,1,0,0.0,0,0
Provo,3.0,2,2,2,0,0.0,0,1
South Bend,0.0,2,1,3,3,100.0,0,0
Cape Town,1.5,2,2,2,1,50.0,0,0
Providence,0.0,2,2,1,1,100.0,0,0
Mumbai,9.5,2,2,2,0,0.0,0,0
Durango,0.0,2,1,2,2,100.0,0,0
Marseille,23.0,2,2,1,0,0.0,0,0
Kaohsiung,1.0,2,1,2,0,0.0,0,1
Kyiv,6.7,2,2,3,1,33.3,0,0
Bangkok,4.5,2,2,2,0,0.0,0,0
Lubbock,0.0,2,3,2,1,50.0,0,1
Toledo,0.0,2,4,1,1,100.0,0,0
Hanoi,11.5,2,1,2,0,0.0,0,0
Nanjing,3.0,2,2,1,0,0.0,0,0
San Juan,3.0,2,2,1,0,0.0,0,0
New Haven,3.5,2,2,2,0,0.0,0,0
Bridgewater,0.0,2,2,1,1,100.0,0,0
Hendersonville,1.0,2,1,1,0,0.0,0,0
Elgin,6.0,2,1,1,0,0.0,0,0
Tel Aviv,31.0,2,2,5,1,20.0,0,0
Mexico City,0.4,2,3,7,6,85.7,0,0
Bellingham,10.0,2,1,2,1,50.0,0,0
Lincoln,0.0,2,1,1,1,100.0,0,0
Elkhart,0.0,2,1,1,1,100.0,0,0
Red Deer,5.0,2,1,2,0,0.0,0,0
The Woodlands,0.0,2,1,2,2,100.0,0,0
Saskatoon,10.0,2,1,2,1,50.0,0,0
Anchorage,0.0,2,4,2,2,100.0,0,0
Vienna,0.0,2,2,2,2,100.0,0,0
Penticton,0.0,2,2,1,1,100.0,0,0
Allentown,0.5,2,2,2,1,50.0,0,0
Buffalo,1.5,2,6,2,1,50.0,0,0
Baton Rouge,18.0,2,2,2,0,0.0,0,0
Halifax,10.2,2,2,4,0,0.0,0,0
Perm,,1,1,1,0,0.0,0,1
Middletown,,1,1,1,0,0.0,0,1
Cheonan,,1,1,1,0,0.0,0,1
Orangeville,5.0,1,1,1,0,0.0,0,0
Kingston,75.0,1,1,2,0,0.0,0,0
Virginia Beach,,1,1,1,0,0.0,0,1
Vilnius,,1,1,1,0,0.0,0,1
Vernon,,1,1,1,0,0.0,0,1
Trenton,,1,1,1,0,0.0,0,1
Terrace,,1,1,1,0,0.0,0,1
Summerville,,1,1,1,0,0.0,0,1
Oakland,0.0,1,1,1,1,100.0,0,0
Great Falls,,1,1,1,0,0.0,0,1
Green Bay,,1,1,1,0,0.0,0,1
Fredericton,6.0,1,1,1,0,0.0,0,0
Bangor,,1,1,1,0,0.0,0,1
Toms River,3.0,1,1,2,0,0.0,0,1
Wellington,3.0,1,1,1,0,0.0,0,0
Ōita,3.0,1,1,1,0,0.0,0,0
Chengdu,,1,1,1,0,0.0,0,1
Elche,3.0,1,1,1,0,0.0,0,0
Fort Madison,3.0,1,1,1,0,0.0,0,0
Sheboygan,27.0,1,1,1,0,0.0,0,0
The Dalles,32.5,1,1,2,0,0.0,0,0
Brockton,20.7,1,1,3,2,66.7,0,0
Springfield,13.8,1,2,4,0,0.0,0,0
Bratislava,9.5,1,1,2,0,0.0,0,0
Johnstown,0.0,1,1,2,2,100.0,0,0
Thành Phố Uông Bí,1.0,1,1,1,0,0.0,0,0
Tijuana,28.5,1,1,2,0,0.0,0,0
Timmins,1.0,1,1,1,0,0.0,0,0
Uvalde,1.0,1,1,1,0,0.0,0,0
Winkler,10.0,1,1,2,0,0.0,0,0
Zürich,4.3,1,1,3,0,0.0,0,0
Akron,0.0,1,2,2,2,100.0,0,0
Ann Arbor,0.0,1,2,1,1,100.0,0,0
Ashland,0.0,1,1,2,1,50.0,0,1
Bay Harbor,0.0,1,0,1,1,100.0,0,0
Redding,22.5,1,1,2,0,0.0,0,0
Cadillac,0.0,1,1,1,1,100.0,0,0
Canton,0.0,1,1,1,1,100.0,0,0
Cardiff,1.5,1,1,2,1,50.0,0,0
Chon Buri,0.0,1,1,1,1,100.0,0,0
Stonecrest,0.0,1,1,1,1,100.0,0,0
Tallinn,0.0,1,1,2,1,50.0,0,1
Traverse City,0.0,1,1,1,1,100.0,0,0
Tucson,0.0,1,1,1,1,100.0,0,0
Kalispell,0.0,1,1,2,1,50.0,0,1
Lancaster,0.0,1,1,2,1,50.0,0,1
Linz,10.0,1,1,2,1,50.0,0,0
Little Rock,1.0,1,1,2,0,0.0,0,1
Lynchburg,1.0,1,0,1,0,0.0,0,0
Monterrey,0.0,1,1,2,2,100.0,0,0
Newport News,4.5,1,1,2,1,50.0,0,0
Ogden,0.0,1,2,2,1,50.0,0,1
Olean,0.0,1,1,1,1,100.0,0,0
Oshawa,0.0,1,1,1,1,100.0,0,0
Portsmouth,0.0,1,1,1,1,100.0,0,0
Prince George,0.0,1,1,1,1,100.0,0,0
Oak Harbor,1.0,1,1,2,0,0.0,0,0
Oldenburg,1.0,1,1,2,0,0.0,0,1
Ottawa,4.4,1,1,10,1,10.0,0,1
Port Saint Lucie,1.0,1,1,1,0,0.0,0,0
Poznań,2.0,1,1,2,0,0.0,0,0
Richmond,27.0,1,4,4,1,25.0,0,0
San Luis Obispo,3.0,1,1,1,0,0.0,0,0
Sheridan,1.0,1,1,1,0,0.0,0,0
Stuttgart,1.0,1,1,2,0,0.0,0,1
Regina,10.0,1,1,2,1,50.0,0,0
Rock Hill,0.0,1,1,1,1,100.0,0,0
Rodez,0.0,1,1,1,1,100.0,0,0
Rome,39.0,1,1,1,0,0.0,0,0
Sandpoint,0.0,1,1,1,1,100.0,0,0
Sapporo,0.0,1,1,1,1,100.0,0,0
Star Valley Ranch,0.0,1,1,1,1,100.0,0,0
Wheeling,25.0,1,1,1,0,0.0,0,0
Montrose,68.0,1,1,3,0,0.0,0,2
Easton,36.0,1,1,1,0,0.0,0,0
Watertown,0.0,1,1,1,1,100.0,0,0
Waukesha,0.0,1,1,1,1,100.0,0,0
Wausau,0.0,1,1,1,1,100.0,0,0
Greenville,13.3,1,1,3,0,0.0,0,0
Hong Kong,0.2,1,2,4,3,75.0,0,0
Venice,0.0,1,1,3,3,100.0,0,0
Lake Jackson,18.0,1,1,1,0,0.0,0,0
Moncton,0.0,1,1,1,1,100.0,0,0
Wenatchee,0.0,1,1,1,1,100.0,0,0
Winston-Salem,0.0,1,1,1,1,100.0,0,0
Bogotá,0.0,1,1,1,1,100.0,0,0
Montgomery,1.0,1,1,2,0,0.0,0,1
Newmarket,2.0,1,1,2,0,0.0,0,0
Knoxville,11.5,1,2,2,0,0.0,0,0
Lake Butler,1.0,1,1,1,0,0.0,0,0
Leesburg,0.2,1,1,6,5,83.3,0,0
Leuven,1.0,1,1,1,0,0.0,0,0
Lexington-Fayette,1.0,1,1,1,0,0.0,0,0
Los Mochis,1.0,1,1,1,0,0.0,0,0
Memphis,0.7,1,1,3,1,33.3,0,0
Busan,3.0,1,1,1,0,0.0,0,0
Hammond,2.3,1,1,3,1,33.3,0,0
Lafayette,0.0,1,1,1,1,100.0,0,0
Stockton,12.0,1,1,1,0,0.0,0,0
Jerusalem,49.0,1,1,1,0,0.0,0,0
Prague,10.0,1,1,2,0,0.0,0,0
Cebu City,57.0,1,1,1,0,0.0,0,0
Castle Rock,7.6,1,1,10,0,0.0,0,0
Chongqing,25.0,1,1,1,0,0.0,0,0
Guayaquil,3.0,1,1,1,0,0.0,0,0
Hangzhou,3.0,1,1,1,0,0.0,0,0
Hawthorne,3.0,1,3,1,0,0.0,0,0
Istanbul,3.0,1,1,1,0,0.0,0,0
Janesville,3.0,1,1,1,0,0.0,0,0
Kuala Lumpur,0.0,1,1,1,1,100.0,0,0
Lebanon,3.0,1,1,1,0,0.0,0,0
Aberdeen,3.0,1,1,1,0,0.0,0,0
Albany,0.0,1,1,1,1,100.0,0,0
Athens,3.0,1,1,1,0,0.0,0,0
Auburn,0.0,1,1,1,1,100.0,0,0
Bozeman,0.0,1,1,1,1,100.0,0,0
Bristol,3.0,1,1,1,0,0.0,0,0
Taichung,4.0,1,1,2,0,0.0,0,0
Gordon,3.0,1,1,1,0,0.0,0,0
Joliette,1.0,1,1,1,0,0.0,0,0
Minato,1.0,1,1,1,0,0.0,0,0
Bemidji,1.0,1,1,1,0,0.0,0,0
Bordeaux,1.0,1,1,1,0,0.0,0,0
Charleroi,1.0,1,1,1,0,0.0,0,0
Chowchilla,1.0,1,1,1,0,0.0,0,0
Circleville,1.0,1,1,1,0,0.0,0,0
Cookeville,0.0,1,1,1,1,100.0,0,0
Crawfordsville,1.0,1,1,1,0,0.0,0,0
Dublin,5.5,1,1,2,0,0.0,0,0
Edinburgh,5.0,1,1,1,0,0.0,0,0
Fort Wayne,1.0,1,1,1,0,0.0,0,0
Ystad,3.0,1,1,1,0,0.0,0,0
Coos Bay,3.0,1,1,1,0,0.0,0,0
Dale City,3.0,1,1,1,0,0.0,0,0
Edison,2.0,1,1,2,0,0.0,0,0
Guadalajara,3.0,1,1,1,0,0.0,0,0
Auckland,4.0,1,2,2,0,0.0,0,1
Bakersfield,1.0,1,1,1,0,0.0,0,0
Aspen,0.0,1,1,1,1,100.0,0,0
Brunswick,3.0,1,1,2,1,50.0,0,0
Moscow,6.0,1,1,1,0,0.0,0,0
Muscatine,3.0,1,1,1,0,0.0,0,0
Newbury,3.0,1,1,1,0,0.0,0,0
Olomouc,3.0,1,1,1,0,0.0,0,0
Oslo,3.0,1,1,1,0,0.0,0,0
Reno,0.0,1,1,1,1,100.0,0,0
Riga,3.0,1,1,1,0,0.0,0,0
Riyadh,3.0,1,1,1,0,0.0,0,0
Rockford,3.0,1,1,1,0,0.0,0,0
Sofia,3.0,1,1,1,0,0.0,0,0
Spartanburg,0.0,1,1,1,1,100.0,0,0
Standish,3.0,1,1,1,0,0.0,0,0
Luxembourg,,1,1,1,0,0.0,0,1
Medford,,1,1,1,0,0.0,0,1
Milton Keynes,,1,0,1,0,0.0,0,1
New Richmond,,1,1,1,0,0.0,0,1
North Adams,,1,1,1,0,0.0,0,1
Oak Island,,1,1,1,0,0.0,0,1
Parksville,,1,1,1,0,0.0,0,1
Pretoria,,1,1,1,0,0.0,0,1
Quezon City,,1,1,1,0,0.0,0,1
Fairmont,3.0,1,0,1,0,0.0,0,0
Hamilton,5.0,1,1,1,0,0.0,0,0
Harrisburg,20.0,1,1,1,0,0.0,0,0
Kraków,0.0,1,1,1,1,100.0,0,0
Lyon,,1,1,2,0,0.0,0,2
Zagreb,3.0,1,1,1,0,0.0,0,0
Gastonia,2.5,1,1,2,1,50.0,0,0
Sturgis,4.0,1,1,1,0,0.0,0,0
Selma,,1,1,1,0,0.0,0,1
Bunbury,3.5,1,1,2,0,0.0,0,0
Nanaimo,5.0,1,1,1,0,0.0,0,0
Victorville,2.5,1,1,2,1,50.0,0,0
Waldorf,5.0,1,1,1,0,0.0,0,0
Winter Haven,44.0,1,1,1,0,0.0,0,0
Winnipeg,2.0,1,5,1,0,0.0,0,0
Perth,3.5,1,2,2,0,0.0,0,0
Grinnell,,1,1,1,0,0.0,0,1
Hannover,,1,1,1,0,0.0,0,1
Hermosillo,,1,1,1,0,0.0,0,1
Hsinchu,,1,1,1,0,0.0,0,1
Kamloops,,1,1,1,0,0.0,0,1
Kennewick,,1,1,1,0,0.0,0,1
Laramie,,1,1,1,0,0.0,0,1
Binghamton,,1,1,1,0,0.0,0,1
Brentwood,,1,1,1,0,0.0,0,1
Brussels,,1,1,1,0,0.0,0,1
Butler,,1,1,1,0,0.0,0,1
Clarksville,,1,1,1,0,0.0,0,1
Dnipro,,1,1,1,0,0.0,0,1
Elmira,,1,1,1,0,0.0,0,1
Fort Smith,,1,1,1,0,0.0,0,1
Genève,,1,0,1,0,0.0,0,1
Gniezno,,1,1,1,0,0.0,0,1
Goochland,,1,1,1,0,0.0,0,1
Sioux Falls,,1,1,1,0,0.0,0,1
Stamford,15.7,1,2,3,0,0.0,0,0
Málaga,32.0,1,1,1,0,0.0,0,0
Georgetown,5.0,1,1,1,0,0.0,0,0
Ames,4.0,1,1,1,0,0.0,0,0
Netanya,31.0,1,1,1,0,0.0,0,0
Carmel,3.0,1,1,1,0,0.0,0,0
Durham,3.0,1,1,1,0,0.0,0,0
Katowice,22.0,1,1,2,0,0.0,0,0
Saint Cloud,33.0,1,1,1,0,0.0,0,0
Belfast,2.0,1,1,1,0,0.0,0,0
Luziânia,35.0,1,1,1,0,0.0,0,0
Morgantown,2.0,1,1,1,0,0.0,0,0
Pécs,2.0,1,1,1,0,0.0,0,0
Manila,29.3,1,1,3,0,0.0,0,0
Biel/Bienne,4.0,1,1,1,0,0.0,0,0
Battle Creek,,1,1,1,0,0.0,0,1
Beaumont,,1,1,1,0,0.0,0,1
Beaver Dam,,1,1,1,0,0.0,0,1
Bedford,,1,1,1,0,0.0,0,1
Bengaluru,,1,1,1,0,0.0,0,1
Bayonne,1.0,1,1,1,0,0.0,0,0
Saint George's,0.0,1,1,9,9,100.0,0,0
Bend,19.0,1,1,2,1,50.0,0,0
Milan,0.0,1,1,1,1,100.0,0,0
Porto,70.0,1,0,2,0,0.0,0,0
Haifa,27.0,1,1,8,0,0.0,0,0
Bologna,4.0,1,1,1,0,0.0,0,0
Bonanza,4.0,1,1,1,0,0.0,0,0
Fort Lauderdale,4.0,1,1,2,0,0.0,0,1
Johnson City,4.0,1,1,2,0,0.0,0,1
Lewiston,4.0,1,1,1,0,0.0,0,0
Queensbury,4.0,1,1,1,0,0.0,0,0
Quimper,4.0,1,1,1,0,0.0,0,0
Rexburg,4.0,1,1,1,0,0.0,0,0
Santa Fe,4.0,1,1,2,0,0.0,0,1
Tauranga,4.0,1,0,1,0,0.0,0,0
Ithaca,30.0,1,1,1,0,0.0,0,0
Santiago,37.8,1,1,10,0,0.0,0,0
Frederick,12.5,1,1,2,0,0.0,0,0
Heerenveen,3.0,1,1,1,0,0.0,0,0
Leeds,3.0,1,1,1,0,0.0,0,0
Loveland,3.0,1,1,1,0,0.0,0,0
Malmö,3.0,1,1,1,0,0.0,0,0
Marshalltown,3.0,1,1,1,0,0.0,0,0
Newburgh,3.0,1,1,1,0,0.0,0,0
Palma,3.0,1,1,1,0,0.0,0,0
Rennes,3.0,1,1,1,0,0.0,0,0
Sarnia,3.0,1,1,1,0,0.0,0,0
Sherbrooke,3.0,1,1,1,0,0.0,0,0
Thousand Oaks,3.0,1,1,2,0,0.0,0,1
Bismarck,11.5,1,1,2,0,0.0,0,0
Blacksburg,4.0,1,1,1,0,0.0,0,0
Santa Cruz,,1,1,1,0,0.0,0,1
High Point,7.0,1,1,1,0,0.0,0,0
Revelstoke,7.0,1,1,1,0,0.0,0,0
Florence,6.0,1,1,1,0,0.0,0,0
Lincoln City,6.0,1,1,1,0,0.0,0,0
Lake Charles,8.0,1,1,1,0,0.0,0,0
Doncaster,20.0,1,1,1,0,0.0,0,0
Valencia,20.0,1,1,1,0,0.0,0,0
Durban,19.0,1,1,1,0,0.0,0,0
Fond Du Lac,19.0,1,1,1,0,0.0,0,0
Köln,19.0,1,1,1,0,0.0,0,0
Stockholm,19.0,1,1,1,0,0.0,0,0
Saumur,75.0,1,0,1,0,0.0,0,0
Dubai,66.0,1,1,1,0,0.0,0,0
Norfolk,22.7,1,2,3,1,33.3,0,0
Seoul,3.0,1,1,2,0,0.0,0,0
Columbia,0.0,1,1,2,1,50.0,0,1
Dayton,0.0,1,2,2,1,50.0,0,1
Düsseldorf,0.0,1,1,2,2,100.0,0,0
Eau Claire,11.5,1,1,2,1,50.0,0,0
Eugene,0.0,1,1,1,1,100.0,0,0
Fremont,1.5,1,1,2,1,50.0,0,0
Fukuoka,0.0,1,1,1,1,100.0,0,0
Glenwood Springs,0.0,1,1,1,1,100.0,0,0
Havelock,0.0,1,1,1,1,100.0,0,0
Helena,9.5,1,1,2,1,50.0,0,0
Brasília,44.0,1,1,2,0,0.0,0,0
Baldwin,7.0,1,1,1,0,0.0,0,0
Rouses Point,,1,1,1,0,0.0,0,1
Rumford,,1,1,1,0,0.0,0,1
Saint George,,1,1,1,0,0.0,0,1
Saint Helena,,1,1,1,0,0.0,0,1
Duluth,,0,1,0,0,0.0,0,0
Elkhorn,,0,1,0,0,0.0,0,0
Fortuna,,0,1,0,0,0.0,0,0
Gillette,,0,1,0,0,0.0,0,0
Grand Rapids,,0,1,0,0,0.0,0,0
Greeley,,0,1,0,0,0.0,0,0
Harrisonburg,,0,1,0,0,0.0,0,0
Hickory,,0,1,0,0,0.0,0,0
Indiana,,0,1,0,0,0.0,0,0
Ioánnina,,0,1,0,0,0.0,0,0
Jefferson City,,0,1,0,0,0.0,0,0
Ljubljana,,0,1,0,0,0.0,0,0
Lockport,,0,1,0,0,0.0,0,0
Ludington,,0,1,0,0,0.0,0,0
Marquette,,0,1,0,0,0.0,0,0
Mitchell,,0,1,0,0,0.0,0,0
Morehead,,0,1,0,0,0.0,0,0
Nanning,,0,1,0,0,0.0,0,0
Owatonna,,0,1,0,0,0.0,0,0
Panamá,,0,1,0,0,0.0,0,0
Reedley,,0,1,0,0,0.0,0,0
Cathedral City,,0,2,0,0,0.0,0,0
Saratoga Springs,,0,2,0,0,0.0,0,0
Staunton,,0,2,0,0,0.0,0,0
Winchester,,0,2,0,0,0.0,0,0
Yuba City,,0,2,0,0,0.0,0,0
Bucharest,,0,1,0,0,0.0,0,0
Cable,,0,1,0,0,0.0,0,0
Charlotte Amalie,,0,1,0,0,0.0,0,0
Chesapeake Beach,,0,1,0,0,0.0,0,0
Cheyenne,,0,1,0,0,0.0,0,0
Clarksburg,,0,1,0,0,0.0,0,0
Corsicana,,0,1,0,0,0.0,0,0
Wuhan,,0,1,0,0,0.0,0,0
Allegan,,0,1,0,0,0.0,0,0
Amery,,0,1,0,0,0.0,0,0
Atlantic City,,0,1,0,0,0.0,0,0
Bowie,,0,1,0,0,0.0,0,0
Brandon,,0,1,0,0,0.0,0,0
Brattleboro,,0,2,0,0,0.0,0,0
San José,,0,2,0,0,0.0,0,0
Singapore,,0,2,0,0,0.0,0,0
Osage Beach,,0,1,0,0,0.0,0,0
Palembang,,0,1,0,0,0.0,0,0
Pottstown,,0,1,0,0,0.0,0,0
Saint Joseph,,0,1,0,0,0.0,0,0
Shijiazhuang,,0,1,0,0,0.0,0,0
Swindon,,0,1,0,0,0.0,0,0
Tembisa,,0,1,0,0,0.0,0,0
Trois-Rivières,,0,1,0,0,0.0,0,0
Urbana,,0,1,0,0,0.0,0,0
Waterford,,0,1,0,0,0.0,0,0
West Torrington,,0,1,0,0,0.0,0,0
Munich,,0,2,1,0,0.0,0,1
Nagu,,0,1,1,0,0.0,0,1
Evansville,,0,1,1,0,0.0,0,1
Granby,,0,1,1,0,0.0,0,1
Greater Sudbury,,0,1,1,0,0.0,0,1
Huntersville,,0,1,1,0,0.0,0,1
Jinan,,0,1,1,0,0.0,0,1
Kuwait City,,0,1,1,0,0.0,0,1
Lewes,,0,1,1,0,0.0,0,1
Linhai,,0,1,1,0,0.0,0,1
Manistee,,0,1,1,0,0.0,0,1
Alexandria,,0,1,1,0,0.0,0,1
Anderson,,0,0,1,0,0.0,0,1
Astoria,,0,1,1,0,0.0,0,1
Barcelona,,0,1,1,0,0.0,0,1
Bay City,,0,1,1,0,0.0,0,1
Boone,,0,1,1,0,0.0,0,1
Buenos Aires,,0,2,1,0,0.0,0,1
Colombo,,0,1,1,0,0.0,0,1
Copenhagen,,0,1,1,0,0.0,0,1
Courtenay,,0,1,1,0,0.0,0,1
Deyang,,0,1,1,0,0.0,0,1
East Pensacola Heights,,0,1,1,0,0.0,0,1
El Paso,,0,1,1,0,0.0,0,1
Danbury,,0,0,2,0,0.0,0,2
Waterloo,,0,1,0,0,0.0,0,0
Winder,,0,1,0,0,0.0,0,0
