Song,Measure,Period,Period Type,Issue,File Path
All In,listeners,20240419,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474237_20240419.csv
All In,listeners,20240510,weekly,CSV has no data rows,parsed csvs/parsed_weekly_listeners_by_city_1711474237_20240510.csv
All In,listeners,20241122,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474237_20241122.csv
All In,listeners,20241129,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474237_20241129.csv
All In,listeners,20241206,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474237_20241206.csv
All In,listeners,20241213,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474237_20241213.csv
All In,listeners,20250221,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474237_20250221.csv
All In,listeners,20250404,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474237_20250404.csv
All In,plays,20240308,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474237_20240308.csv
All In,plays,20240419,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474237_20240419.csv
All In,plays,20240510,weekly,CSV has no data rows,parsed csvs/parsed_weekly_plays_by_city_1711474237_20240510.csv
All In,plays,20241122,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474237_20241122.csv
All In,plays,20241129,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474237_20241129.csv
All In,plays,20241206,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474237_20241206.csv
All In,plays,20241213,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474237_20241213.csv
All In,plays,20250221,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474237_20250221.csv
All In,plays,20250404,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474237_20250404.csv
Althea,listeners,20231101,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1748029276_20231101.csv
Althea,listeners,20231201,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1748029276_20231201.csv
Althea,listeners,20240101,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1748029276_20240101.csv
Althea,listeners,20240201,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1748029276_20240201.csv
Althea,listeners,20240301,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1748029276_20240301.csv
Althea,listeners,20240401,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1748029276_20240401.csv
Althea,listeners,20240501,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1748029276_20240501.csv
Althea,listeners,20240601,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1748029276_20240601.csv
Althea,listeners,20240701,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1748029276_20240701.csv
Althea,listeners,20240801,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1748029276_20240801.csv
Althea,plays,20240628,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1748029276_20240628.csv
Althea,plays,20240705,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1748029276_20240705.csv
Artist Level,listeners,20240601,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_artist_20240601.csv
Artist Level,listeners,20240701,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_artist_20240701.csv
Artist Level,listeners,20240801,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_artist_20240801.csv
Breaking Me Down,listeners,20231101,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20231101.csv
Breaking Me Down,listeners,20231201,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20231201.csv
Breaking Me Down,listeners,20240101,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20240101.csv
Breaking Me Down,listeners,20240201,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20240201.csv
Breaking Me Down,listeners,20240301,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20240301.csv
Breaking Me Down,listeners,20240401,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20240401.csv
Breaking Me Down,listeners,20240501,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20240501.csv
Breaking Me Down,listeners,20240601,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20240601.csv
Breaking Me Down,listeners,20240701,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20240701.csv
Breaking Me Down,listeners,20240801,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20240801.csv
Breaking Me Down,listeners,20240901,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20240901.csv
Breaking Me Down,listeners,20241001,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20241001.csv
Breaking Me Down,listeners,20241101,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20241101.csv
Breaking Me Down,listeners,20241201,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20241201.csv
Breaking Me Down,listeners,20250101,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20250101.csv
Breaking Me Down,listeners,20250201,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20250201.csv
Breaking Me Down,listeners,20250301,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227249_20250301.csv
Crash,listeners,20231229,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20231229.csv
Crash,listeners,20240126,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20240126.csv
Crash,listeners,20240301,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20240301.csv
Crash,listeners,20240315,weekly,CSV has no data rows,parsed csvs/parsed_weekly_listeners_by_city_1711474239_20240315.csv
Crash,listeners,20240405,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20240405.csv
Crash,listeners,20240412,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20240412.csv
Crash,listeners,20240419,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20240419.csv
Crash,listeners,20240426,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20240426.csv
Crash,listeners,20240531,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20240531.csv
Crash,listeners,20240607,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20240607.csv
Crash,listeners,20240719,weekly,CSV has no data rows,parsed csvs/parsed_weekly_listeners_by_city_1711474239_20240719.csv
Crash,listeners,20240906,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20240906.csv
Crash,listeners,20241018,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20241018.csv
Crash,listeners,20241206,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20241206.csv
Crash,listeners,20241213,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20241213.csv
Crash,listeners,20241220,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20241220.csv
Crash,listeners,20241227,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20241227.csv
Crash,listeners,20250131,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20250131.csv
Crash,listeners,20250207,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20250207.csv
Crash,listeners,20250214,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20250214.csv
Crash,listeners,20250221,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20250221.csv
Crash,listeners,20250404,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474239_20250404.csv
Crash,plays,20240126,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474239_20240126.csv
Crash,plays,20240315,weekly,CSV has no data rows,parsed csvs/parsed_weekly_plays_by_city_1711474239_20240315.csv
Crash,plays,20240419,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474239_20240419.csv
Crash,plays,20240426,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474239_20240426.csv
Crash,plays,20240531,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474239_20240531.csv
Crash,plays,20240607,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474239_20240607.csv
Crash,plays,20240719,weekly,CSV has no data rows,parsed csvs/parsed_weekly_plays_by_city_1711474239_20240719.csv
Crash,plays,20240906,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474239_20240906.csv
Crash,plays,20241018,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474239_20241018.csv
Crash,plays,20241206,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474239_20241206.csv
Crash,plays,20241213,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474239_20241213.csv
Crash,plays,20241220,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474239_20241220.csv
Crash,plays,20241227,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474239_20241227.csv
Crash,plays,20250131,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474239_20250131.csv
Crash,plays,20250207,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474239_20250207.csv
Crash,plays,20250214,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474239_20250214.csv
Crash,plays,20250221,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474239_20250221.csv
Crash,plays,20250404,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474239_20250404.csv
Easy,listeners,20240126,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20240126.csv
Easy,listeners,20240301,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20240301.csv
Easy,listeners,20240426,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20240426.csv
Easy,listeners,20240503,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20240503.csv
Easy,listeners,20240510,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20240510.csv
Easy,listeners,20240531,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20240531.csv
Easy,listeners,20240607,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20240607.csv
Easy,listeners,20240712,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20240712.csv
Easy,listeners,20240719,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20240719.csv
Easy,listeners,20241004,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20241004.csv
Easy,listeners,20241011,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20241011.csv
Easy,listeners,20241018,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20241018.csv
Easy,listeners,20241206,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20241206.csv
Easy,listeners,20241213,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20241213.csv
Easy,listeners,20241220,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20241220.csv
Easy,listeners,20241227,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20241227.csv
Easy,listeners,20250103,weekly,Empty HTML,html outputs/page_source_weekly_listeners_by_city_1711474241_20250103.html
Easy,listeners,20250103,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20250103.csv
Easy,listeners,20250117,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20250117.csv
Easy,listeners,20250124,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20250124.csv
Easy,listeners,20250131,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20250131.csv
Easy,listeners,20250207,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20250207.csv
Easy,listeners,20250214,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20250214.csv
Easy,listeners,20250221,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474241_20250221.csv
Easy,plays,20240126,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240126.csv
Easy,plays,20240301,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240301.csv
Easy,plays,20240426,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240426.csv
Easy,plays,20240503,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240503.csv
Easy,plays,20240510,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240510.csv
Easy,plays,20240531,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240531.csv
Easy,plays,20240607,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240607.csv
Easy,plays,20240712,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240712.csv
Easy,plays,20240719,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20240719.csv
Easy,plays,20241004,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20241004.csv
Easy,plays,20241011,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20241011.csv
Easy,plays,20241018,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20241018.csv
Easy,plays,20241206,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20241206.csv
Easy,plays,20241213,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20241213.csv
Easy,plays,20241220,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20241220.csv
Easy,plays,20241227,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20241227.csv
Easy,plays,20250117,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20250117.csv
Easy,plays,20250124,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20250124.csv
Easy,plays,20250131,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20250131.csv
Easy,plays,20250207,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474241_20250207.csv
